condition	stimulus	ITI	trial	targetResponse	block	subject	task
distractor	1	1.02	1	left	1	18	P300
distractor	1	1.51	2	left	1	18	P300
distractor	1	0.87	3	left	1	18	P300
target	5	0.76	4	left	1	18	P300
distractor	1	1.62	5	left	1	18	P300
target	5	1.36	6	left	1	18	P300
distractor	2	1.44	7	left	1	18	P300
target	5	1	8	left	1	18	P300
distractor	3	0.94	9	left	1	18	P300
target	5	0.87	10	left	1	18	P300
distractor	4	1.02	11	left	1	18	P300
distractor	4	2.21	12	left	1	18	P300
distractor	4	1.85	13	left	1	18	P300
distractor	3	1.59	14	left	1	18	P300
distractor	1	0.88	15	left	1	18	P300
distractor	4	1.42	16	left	1	18	P300
distractor	1	0.9	17	left	1	18	P300
target	5	0.7	18	left	1	18	P300
distractor	1	1.21	19	left	1	18	P300
target	5	0.75	20	left	1	18	P300
distractor	4	0.85	21	left	1	18	P300
target	5	0.91	22	left	1	18	P300
distractor	3	1.14	23	left	1	18	P300
target	5	1.28	24	left	1	18	P300
distractor	3	1.71	25	left	1	18	P300
distractor	4	1.33	26	left	1	18	P300
distractor	3	3.03	27	left	1	18	P300
distractor	1	2.45	28	left	1	18	P300
distractor	3	1.6	29	left	1	18	P300
distractor	4	1.96	30	left	1	18	P300
target	5	1.23	31	left	1	18	P300
distractor	1	1.53	32	left	1	18	P300
distractor	4	0.87	33	left	1	18	P300
distractor	2	1.01	34	left	1	18	P300
distractor	2	0.9	35	left	1	18	P300
distractor	3	1.58	36	left	1	18	P300
distractor	1	0.84	37	left	1	18	P300
distractor	3	3.68	38	left	1	18	P300
distractor	1	1.18	39	left	1	18	P300
distractor	2	1.9	40	left	1	18	P300
distractor	2	1.22	41	left	1	18	P300
distractor	2	1.05	42	left	1	18	P300
distractor	1	1.11	43	left	1	18	P300
distractor	2	0.71	44	left	1	18	P300
distractor	1	1.39	45	left	1	18	P300
distractor	2	1.03	46	left	1	18	P300
distractor	3	0.86	47	left	1	18	P300
distractor	4	1.11	48	left	1	18	P300
distractor	2	3.21	49	left	1	18	P300
distractor	3	0.91	50	left	1	18	P300
distractor	3	0.95	51	left	1	18	P300
distractor	4	0.75	52	left	1	18	P300
distractor	3	0.9	53	left	1	18	P300
target	5	1.76	54	left	1	18	P300
distractor	3	0.86	55	left	1	18	P300
distractor	2	0.98	56	left	1	18	P300
distractor	4	0.79	57	left	1	18	P300
target	5	0.84	58	left	1	18	P300
distractor	4	1.98	59	left	1	18	P300
target	5	0.95	60	left	1	18	P300
distractor	1	0.74	61	left	1	18	P300
distractor	4	0.8	62	left	1	18	P300
distractor	3	1.06	63	left	1	18	P300
distractor	2	2.24	64	left	1	18	P300
distractor	2	0.75	65	left	1	18	P300
distractor	1	1.23	66	left	1	18	P300
distractor	3	1.31	67	left	1	18	P300
distractor	3	1	68	left	1	18	P300
target	5	1.28	69	left	1	18	P300
distractor	1	0.8	70	left	1	18	P300
target	5	1.85	71	left	1	18	P300
distractor	4	0.93	72	left	1	18	P300
target	5	1.22	73	left	1	18	P300
distractor	4	2.15	74	left	1	18	P300
target	5	1.12	75	left	1	18	P300
distractor	4	0.75	76	left	1	18	P300
distractor	3	0.72	77	left	1	18	P300
distractor	4	0.98	78	left	1	18	P300
distractor	1	0.81	79	left	1	18	P300
distractor	2	2.2	80	left	1	18	P300
distractor	1	1.87	81	left	1	18	P300
distractor	4	0.7	82	left	1	18	P300
distractor	1	0.71	83	left	1	18	P300
distractor	3	0.87	84	left	1	18	P300
distractor	1	1.27	85	left	1	18	P300
distractor	3	0.72	86	left	1	18	P300
target	5	0.86	87	left	1	18	P300
distractor	2	0.79	88	left	1	18	P300
distractor	1	0.85	89	left	1	18	P300
distractor	2	1.02	90	left	1	18	P300
target	5	0.95	91	left	1	18	P300
distractor	2	0.7	92	left	1	18	P300
target	5	1.09	93	left	1	18	P300
distractor	3	0.89	94	left	1	18	P300
distractor	2	0.7	95	left	1	18	P300
distractor	2	0.7	96	left	1	18	P300
distractor	1	0.76	97	left	1	18	P300
distractor	3	1.61	98	left	1	18	P300
distractor	3	1.25	99	left	1	18	P300
target	5	1.01	100	left	1	18	P300
distractor	4	1.99	101	left	1	18	P300
target	5	0.81	102	left	1	18	P300
distractor	2	1.07	103	left	1	18	P300
distractor	4	0.73	104	left	1	18	P300
distractor	1	1.36	105	left	1	18	P300
distractor	4	0.99	106	left	1	18	P300
distractor	2	1.03	107	left	1	18	P300
target	5	1.26	108	left	1	18	P300
distractor	2	2.06	109	left	1	18	P300
target	5	0.7	110	left	1	18	P300
distractor	2	1.17	111	left	1	18	P300
distractor	3	0.74	112	left	1	18	P300
distractor	2	1.18	113	left	1	18	P300
distractor	4	1.32	114	left	1	18	P300
distractor	4	1.26	115	left	1	18	P300
distractor	1	0.79	116	left	1	18	P300
distractor	4	1.19	117	left	1	18	P300
target	5	1.77	118	left	1	18	P300
distractor	3	1.48	119	left	1	18	P300
distractor	2	1.06	120	left	1	18	P300
distractor	3	0.76	1	right	2	18	P300
distractor	3	1.12	2	right	2	18	P300
distractor	1	0.94	3	right	2	18	P300
target	4	2.71	4	right	2	18	P300
distractor	3	1.23	5	right	2	18	P300
target	4	1.57	6	right	2	18	P300
distractor	2	1.16	7	right	2	18	P300
distractor	1	0.83	8	right	2	18	P300
target	4	0.8	9	right	2	18	P300
distractor	2	0.95	10	right	2	18	P300
distractor	1	0.9	11	right	2	18	P300
distractor	5	0.85	12	right	2	18	P300
target	4	0.77	13	right	2	18	P300
distractor	5	1.13	14	right	2	18	P300
distractor	3	0.85	15	right	2	18	P300
distractor	3	0.99	16	right	2	18	P300
distractor	5	0.8	17	right	2	18	P300
distractor	5	1.23	18	right	2	18	P300
distractor	1	0.85	19	right	2	18	P300
distractor	3	0.83	20	right	2	18	P300
distractor	5	1.31	21	right	2	18	P300
target	4	1.5	22	right	2	18	P300
distractor	3	1.09	23	right	2	18	P300
target	4	0.79	24	right	2	18	P300
distractor	2	0.81	25	right	2	18	P300
target	4	0.72	26	right	2	18	P300
distractor	2	0.72	27	right	2	18	P300
target	4	0.97	28	right	2	18	P300
distractor	2	1.09	29	right	2	18	P300
distractor	1	0.71	30	right	2	18	P300
distractor	1	0.81	31	right	2	18	P300
distractor	1	0.77	32	right	2	18	P300
distractor	1	1.39	33	right	2	18	P300
target	4	0.74	34	right	2	18	P300
distractor	2	0.72	35	right	2	18	P300
distractor	2	0.74	36	right	2	18	P300
distractor	3	1.01	37	right	2	18	P300
distractor	1	0.71	38	right	2	18	P300
distractor	2	1.95	39	right	2	18	P300
distractor	1	2.84	40	right	2	18	P300
distractor	2	0.77	41	right	2	18	P300
target	4	0.72	42	right	2	18	P300
distractor	2	0.99	43	right	2	18	P300
distractor	5	1.49	44	right	2	18	P300
distractor	1	0.8	45	right	2	18	P300
distractor	3	0.74	46	right	2	18	P300
distractor	2	0.86	47	right	2	18	P300
distractor	3	1.43	48	right	2	18	P300
distractor	3	0.89	49	right	2	18	P300
distractor	5	0.88	50	right	2	18	P300
distractor	1	1.38	51	right	2	18	P300
distractor	2	1.12	52	right	2	18	P300
distractor	1	0.96	53	right	2	18	P300
distractor	5	0.83	54	right	2	18	P300
distractor	1	1.32	55	right	2	18	P300
distractor	2	1.18	56	right	2	18	P300
target	4	0.99	57	right	2	18	P300
distractor	3	0.87	58	right	2	18	P300
target	4	0.96	59	right	2	18	P300
distractor	5	1.05	60	right	2	18	P300
target	4	0.99	61	right	2	18	P300
distractor	2	1	62	right	2	18	P300
target	4	1.07	63	right	2	18	P300
distractor	1	1.47	64	right	2	18	P300
distractor	3	1.09	65	right	2	18	P300
distractor	5	1.02	66	right	2	18	P300
distractor	1	1.5	67	right	2	18	P300
distractor	3	0.77	68	right	2	18	P300
distractor	5	1.38	69	right	2	18	P300
distractor	3	1.4	70	right	2	18	P300
distractor	5	1.35	71	right	2	18	P300
distractor	5	1.17	72	right	2	18	P300
distractor	1	0.71	73	right	2	18	P300
target	4	0.9	74	right	2	18	P300
distractor	2	1.06	75	right	2	18	P300
distractor	1	0.93	76	right	2	18	P300
distractor	5	1.58	77	right	2	18	P300
distractor	1	1.75	78	right	2	18	P300
distractor	2	0.81	79	right	2	18	P300
target	4	1.12	80	right	2	18	P300
distractor	2	1.07	81	right	2	18	P300
distractor	1	1.08	82	right	2	18	P300
distractor	2	2.44	83	right	2	18	P300
distractor	5	0.74	84	right	2	18	P300
distractor	2	1.9	85	right	2	18	P300
distractor	5	0.8	86	right	2	18	P300
target	4	1.08	87	right	2	18	P300
distractor	2	0.87	88	right	2	18	P300
target	4	0.79	89	right	2	18	P300
distractor	3	0.86	90	right	2	18	P300
distractor	1	1.07	91	right	2	18	P300
