condition	stimulus	ITI	trial	targetResponse	block	subject	task
distractor	3	0.77	1	right	1	34	P300
target	5	0.7	2	right	1	34	P300
distractor	1	0.72	3	right	1	34	P300
target	5	1.33	4	right	1	34	P300
distractor	1	1.32	5	right	1	34	P300
distractor	1	1.51	6	right	1	34	P300
distractor	2	0.71	7	right	1	34	P300
distractor	3	2.3	8	right	1	34	P300
target	5	1.48	9	right	1	34	P300
distractor	1	0.95	10	right	1	34	P300
distractor	3	2.23	11	right	1	34	P300
distractor	4	0.83	12	right	1	34	P300
distractor	3	1.42	13	right	1	34	P300
distractor	1	3.03	14	right	1	34	P300
distractor	1	0.78	15	right	1	34	P300
distractor	2	0.94	16	right	1	34	P300
distractor	1	1.12	17	right	1	34	P300
distractor	2	1.17	18	right	1	34	P300
distractor	2	1.41	19	right	1	34	P300
distractor	4	0.94	20	right	1	34	P300
distractor	2	0.71	21	right	1	34	P300
distractor	1	0.98	22	right	1	34	P300
distractor	4	1.16	23	right	1	34	P300
distractor	4	0.82	24	right	1	34	P300
distractor	4	0.7	25	right	1	34	P300
distractor	3	0.72	26	right	1	34	P300
distractor	4	0.77	27	right	1	34	P300
distractor	1	1.78	28	right	1	34	P300
distractor	1	1.05	29	right	1	34	P300
distractor	1	0.74	30	right	1	34	P300
target	5	2.13	31	right	1	34	P300
distractor	4	1.01	32	right	1	34	P300
target	5	0.8	33	right	1	34	P300
distractor	1	0.78	34	right	1	34	P300
target	5	1.04	35	right	1	34	P300
distractor	4	0.8	36	right	1	34	P300
distractor	3	2.6	37	right	1	34	P300
distractor	2	0.91	38	right	1	34	P300
target	5	0.7	39	right	1	34	P300
distractor	2	0.88	40	right	1	34	P300
target	5	1.25	41	right	1	34	P300
distractor	4	0.75	42	right	1	34	P300
target	5	0.81	43	right	1	34	P300
distractor	4	1.08	44	right	1	34	P300
distractor	1	0.99	45	right	1	34	P300
target	5	0.86	46	right	1	34	P300
distractor	1	0.93	47	right	1	34	P300
distractor	4	0.96	48	right	1	34	P300
distractor	3	1.3	49	right	1	34	P300
distractor	4	0.74	50	right	1	34	P300
distractor	4	0.72	51	right	1	34	P300
distractor	3	1.57	52	right	1	34	P300
distractor	4	0.72	53	right	1	34	P300
target	5	1.44	54	right	1	34	P300
distractor	1	1.4	55	right	1	34	P300
target	5	1.22	56	right	1	34	P300
distractor	2	0.75	57	right	1	34	P300
target	5	0.89	58	right	1	34	P300
distractor	3	0.98	59	right	1	34	P300
target	5	1.19	60	right	1	34	P300
distractor	1	0.73	61	right	1	34	P300
distractor	2	0.96	62	right	1	34	P300
target	5	1.85	63	right	1	34	P300
distractor	2	1.32	64	right	1	34	P300
distractor	3	1.36	65	right	1	34	P300
distractor	3	2.15	66	right	1	34	P300
target	5	1.39	67	right	1	34	P300
distractor	3	0.87	68	right	1	34	P300
distractor	1	1.02	69	right	1	34	P300
distractor	2	1.99	70	right	1	34	P300
target	5	1.37	71	right	1	34	P300
distractor	4	0.7	72	right	1	34	P300
distractor	2	0.88	73	right	1	34	P300
target	5	0.76	74	right	1	34	P300
distractor	2	0.87	75	right	1	34	P300
distractor	2	1.84	76	right	1	34	P300
distractor	2	0.85	77	right	1	34	P300
distractor	4	2.62	78	right	1	34	P300
distractor	1	0.7	79	right	1	34	P300
distractor	1	1.14	80	right	1	34	P300
distractor	3	1.08	81	right	1	34	P300
distractor	1	1.14	82	right	1	34	P300
distractor	3	0.7	83	right	1	34	P300
distractor	1	1.05	84	right	1	34	P300
distractor	4	1.01	85	right	1	34	P300
distractor	4	1.12	86	right	1	34	P300
distractor	2	0.92	87	right	1	34	P300
distractor	4	1.44	88	right	1	34	P300
target	5	0.95	89	right	1	34	P300
distractor	2	2.02	90	right	1	34	P300
distractor	1	1.1	91	right	1	34	P300
distractor	3	1.23	92	right	1	34	P300
target	5	1.62	93	right	1	34	P300
distractor	4	1.64	94	right	1	34	P300
target	5	0.74	95	right	1	34	P300
distractor	3	0.89	96	right	1	34	P300
distractor	3	1.67	97	right	1	34	P300
distractor	2	1.58	98	right	1	34	P300
distractor	1	0.95	99	right	1	34	P300
target	5	1.04	100	right	1	34	P300
distractor	3	2.58	101	right	1	34	P300
distractor	4	2.12	102	right	1	34	P300
distractor	2	1.12	103	right	1	34	P300
distractor	2	1.73	104	right	1	34	P300
distractor	4	1.02	105	right	1	34	P300
distractor	2	1.11	106	right	1	34	P300
distractor	3	1.01	107	right	1	34	P300
distractor	3	0.96	108	right	1	34	P300
distractor	3	1.03	109	right	1	34	P300
target	5	1.5	110	right	1	34	P300
distractor	3	1.69	111	right	1	34	P300
target	5	0.73	112	right	1	34	P300
distractor	2	1.09	113	right	1	34	P300
distractor	2	1.25	114	right	1	34	P300
distractor	1	1.11	115	right	1	34	P300
distractor	3	2.16	116	right	1	34	P300
distractor	4	0.71	117	right	1	34	P300
distractor	4	1.58	118	right	1	34	P300
distractor	3	0.97	119	right	1	34	P300
distractor	2	0.77	120	right	1	34	P300
target	1	1.39	1	left	2	34	P300
distractor	5	2.59	2	left	2	34	P300
distractor	5	0.73	3	left	2	34	P300
distractor	2	1.14	4	left	2	34	P300
distractor	2	0.82	5	left	2	34	P300
target	1	0.87	6	left	2	34	P300
distractor	4	1.11	7	left	2	34	P300
target	1	1.13	8	left	2	34	P300
distractor	3	0.74	9	left	2	34	P300
distractor	3	1.19	10	left	2	34	P300
distractor	3	0.77	11	left	2	34	P300
target	1	0.72	12	left	2	34	P300
distractor	4	0.96	13	left	2	34	P300
distractor	5	1.4	14	left	2	34	P300
target	1	0.72	15	left	2	34	P300
distractor	5	1.31	16	left	2	34	P300
distractor	4	0.84	17	left	2	34	P300
target	1	0.74	18	left	2	34	P300
distractor	5	0.88	19	left	2	34	P300
distractor	4	2.12	20	left	2	34	P300
distractor	3	0.86	21	left	2	34	P300
distractor	5	1.31	22	left	2	34	P300
target	1	0.99	23	left	2	34	P300
distractor	4	1.41	24	left	2	34	P300
distractor	3	0.91	25	left	2	34	P300
target	1	0.7	26	left	2	34	P300
distractor	2	1.46	27	left	2	34	P300
target	1	2.02	28	left	2	34	P300
distractor	3	1.38	29	left	2	34	P300
distractor	3	1.64	30	left	2	34	P300
distractor	5	1.25	31	left	2	34	P300
distractor	2	0.74	32	left	2	34	P300
distractor	5	1.4	33	left	2	34	P300
distractor	4	0.84	34	left	2	34	P300
distractor	5	0.7	35	left	2	34	P300
distractor	2	1.29	36	left	2	34	P300
target	1	0.78	37	left	2	34	P300
distractor	2	0.91	38	left	2	34	P300
distractor	4	0.93	39	left	2	34	P300
distractor	3	1.07	40	left	2	34	P300
distractor	2	0.7	41	left	2	34	P300
distractor	3	0.97	42	left	2	34	P300
distractor	2	1.14	43	left	2	34	P300
distractor	5	1.12	44	left	2	34	P300
distractor	5	0.74	45	left	2	34	P300
distractor	5	1.07	46	left	2	34	P300
distractor	4	1.32	47	left	2	34	P300
distractor	3	0.72	48	left	2	34	P300
distractor	2	0.88	49	left	2	34	P300
distractor	4	1.17	50	left	2	34	P300
target	1	0.79	51	left	2	34	P300
distractor	3	0.97	52	left	2	34	P300
distractor	2	0.71	53	left	2	34	P300
distractor	2	1.93	54	left	2	34	P300
distractor	4	1.18	55	left	2	34	P300
distractor	2	1.77	56	left	2	34	P300
target	1	0.93	57	left	2	34	P300
distractor	4	1.31	58	left	2	34	P300
distractor	4	1.57	59	left	2	34	P300
distractor	4	1.32	60	left	2	34	P300
distractor	4	1.24	61	left	2	34	P300
distractor	3	2.84	62	left	2	34	P300
distractor	2	0.89	63	left	2	34	P300
target	1	0.99	64	left	2	34	P300
distractor	4	1.42	65	left	2	34	P300
distractor	3	0.78	66	left	2	34	P300
distractor	4	0.9	67	left	2	34	P300
distractor	2	2.47	68	left	2	34	P300
distractor	5	1.68	69	left	2	34	P300
distractor	4	0.94	70	left	2	34	P300
distractor	4	0.82	71	left	2	34	P300
distractor	5	1.02	72	left	2	34	P300
distractor	5	2.4	73	left	2	34	P300
target	1	0.79	74	left	2	34	P300
distractor	3	0.7	75	left	2	34	P300
target	1	0.93	76	left	2	34	P300
distractor	5	1.09	77	left	2	34	P300
distractor	3	3.73	78	left	2	34	P300
distractor	3	0.9	79	left	2	34	P300
distractor	3	1.14	80	left	2	34	P300
distractor	2	1.37	81	left	2	34	P300
distractor	4	1.06	82	left	2	34	P300
distractor	5	1.28	83	left	2	34	P300
distractor	5	0.8	84	left	2	34	P300
distractor	2	0.94	85	left	2	34	P300
distractor	4	2.47	86	left	2	34	P300
distractor	3	1.53	87	left	2	34	P300
distractor	5	0.78	88	left	2	34	P300
target	1	0.91	89	left	2	34	P300
distractor	2	0.96	90	left	2	34	P300
target	1	1.05	91	left	2	34	P300
distractor	3	1.01	92	left	2	34	P300
distractor	2	0.76	93	left	2	34	P300
distractor	4	1.18	94	left	2	34	P300
distractor	2	0.83	95	left	2	34	P300
target	1	1.53	96	left	2	34	P300
distractor	5	0.79	97	left	2	34	P300
distractor	3	0.78	98	left	2	34	P300
distractor	2	0.83	99	left	2	34	P300
distractor	5	1.42	100	left	2	34	P300
distractor	5	0.87	101	left	2	34	P300
distractor	4	0.95	102	left	2	34	P300
target	1	1.47	103	left	2	34	P300
distractor	4	0.82	104	left	2	34	P300
target	1	0.83	105	left	2	34	P300
distractor	5	0.87	106	left	2	34	P300
target	1	0.88	107	left	2	34	P300
distractor	5	1.11	108	left	2	34	P300
target	1	1.14	109	left	2	34	P300
distractor	3	1.14	110	left	2	34	P300
distractor	2	0.74	111	left	2	34	P300
target	1	0.74	112	left	2	34	P300
distractor	3	0.72	113	left	2	34	P300
target	1	0.95	114	left	2	34	P300
distractor	2	0.84	115	left	2	34	P300
distractor	2	2.01	116	left	2	34	P300
distractor	2	0.91	117	left	2	34	P300
distractor	3	0.8	118	left	2	34	P300
distractor	4	0.79	119	left	2	34	P300
distractor	3	0.77	120	left	2	34	P300
distractor	4	0.81	1	right	3	34	P300
distractor	4	0.87	2	right	3	34	P300
distractor	2	1.37	3	right	3	34	P300
distractor	2	1.34	4	right	3	34	P300
target	3	0.86	5	right	3	34	P300
distractor	5	1.3	6	right	3	34	P300
distractor	5	1.32	7	right	3	34	P300
distractor	4	1.5	8	right	3	34	P300
distractor	4	0.72	9	right	3	34	P300
distractor	5	0.97	10	right	3	34	P300
distractor	2	1.72	11	right	3	34	P300
distractor	1	1.01	12	right	3	34	P300
