condition	stimulus	ITI	trial	targetResponse	block	subject	task
distractor	3	1	1	left	1	25	P300
target	1	1.4	2	left	1	25	P300
distractor	5	1.39	3	left	1	25	P300
target	1	0.75	4	left	1	25	P300
distractor	3	0.82	5	left	1	25	P300
distractor	2	1.12	6	left	1	25	P300
distractor	3	0.9	7	left	1	25	P300
target	1	0.72	8	left	1	25	P300
distractor	4	0.9	9	left	1	25	P300
distractor	2	0.73	10	left	1	25	P300
distractor	3	0.71	11	left	1	25	P300
distractor	2	0.85	12	left	1	25	P300
distractor	4	1.31	13	left	1	25	P300
distractor	2	2.03	14	left	1	25	P300
distractor	4	1.08	15	left	1	25	P300
distractor	2	2.61	16	left	1	25	P300
distractor	4	0.79	17	left	1	25	P300
distractor	4	0.71	18	left	1	25	P300
target	1	0.91	19	left	1	25	P300
distractor	2	1.35	20	left	1	25	P300
distractor	4	1.32	21	left	1	25	P300
distractor	2	1.56	22	left	1	25	P300
target	1	1.03	23	left	1	25	P300
distractor	5	1.02	24	left	1	25	P300
target	1	1.43	25	left	1	25	P300
distractor	5	0.76	26	left	1	25	P300
distractor	2	1.25	27	left	1	25	P300
target	1	0.73	28	left	1	25	P300
distractor	3	1.04	29	left	1	25	P300
target	1	0.7	30	left	1	25	P300
distractor	5	0.74	31	left	1	25	P300
distractor	2	0.78	32	left	1	25	P300
target	1	0.87	33	left	1	25	P300
distractor	5	0.75	34	left	1	25	P300
distractor	2	1.05	35	left	1	25	P300
distractor	4	0.92	36	left	1	25	P300
distractor	3	0.84	37	left	1	25	P300
distractor	5	0.92	38	left	1	25	P300
target	1	0.94	39	left	1	25	P300
distractor	2	1.64	40	left	1	25	P300
distractor	4	0.94	41	left	1	25	P300
distractor	4	1.11	42	left	1	25	P300
distractor	5	0.72	43	left	1	25	P300
distractor	4	1.84	44	left	1	25	P300
distractor	2	1.31	45	left	1	25	P300
distractor	3	2.31	46	left	1	25	P300
distractor	2	0.82	47	left	1	25	P300
target	1	2.19	48	left	1	25	P300
distractor	5	1.24	49	left	1	25	P300
target	1	0.76	50	left	1	25	P300
distractor	4	0.73	51	left	1	25	P300
distractor	5	1.1	52	left	1	25	P300
target	1	0.72	53	left	1	25	P300
distractor	4	0.89	54	left	1	25	P300
distractor	5	0.82	55	left	1	25	P300
distractor	5	0.71	56	left	1	25	P300
distractor	5	1.27	57	left	1	25	P300
target	1	0.96	58	left	1	25	P300
distractor	3	1.56	59	left	1	25	P300
target	1	1.02	60	left	1	25	P300
distractor	3	0.86	61	left	1	25	P300
target	1	1.52	62	left	1	25	P300
distractor	5	0.86	63	left	1	25	P300
distractor	2	0.83	64	left	1	25	P300
distractor	4	0.94	65	left	1	25	P300
target	1	1.66	66	left	1	25	P300
distractor	5	0.88	67	left	1	25	P300
target	1	0.98	68	left	1	25	P300
distractor	4	1.19	69	left	1	25	P300
target	1	0.77	70	left	1	25	P300
distractor	2	1.99	71	left	1	25	P300
distractor	5	0.97	72	left	1	25	P300
distractor	4	1.44	73	left	1	25	P300
distractor	3	0.73	74	left	1	25	P300
distractor	5	0.74	75	left	1	25	P300
distractor	3	1	76	left	1	25	P300
distractor	5	0.94	77	left	1	25	P300
distractor	2	0.91	78	left	1	25	P300
distractor	2	0.97	79	left	1	25	P300
target	1	0.99	80	left	1	25	P300
distractor	3	0.86	81	left	1	25	P300
distractor	4	1.03	82	left	1	25	P300
distractor	5	1.32	83	left	1	25	P300
distractor	5	1.57	84	left	1	25	P300
distractor	3	1.39	85	left	1	25	P300
distractor	4	0.71	86	left	1	25	P300
distractor	3	1.02	87	left	1	25	P300
distractor	3	1.18	88	left	1	25	P300
distractor	4	0.9	89	left	1	25	P300
distractor	3	0.73	90	left	1	25	P300
distractor	5	1.18	91	left	1	25	P300
distractor	3	1.08	92	left	1	25	P300
distractor	2	1.27	93	left	1	25	P300
distractor	3	0.89	94	left	1	25	P300
target	1	0.7	95	left	1	25	P300
distractor	2	0.84	96	left	1	25	P300
distractor	2	0.92	97	left	1	25	P300
distractor	4	1.13	98	left	1	25	P300
target	1	0.96	99	left	1	25	P300
distractor	3	0.96	100	left	1	25	P300
distractor	5	0.7	101	left	1	25	P300
