condition	stimulus	ITI	trial	targetResponse	block	subject	task
target	1	0.79	1	left	1	35	P300
distractor	3	0.95	2	left	1	35	P300
target	1	1.38	3	left	1	35	P300
distractor	5	1.85	4	left	1	35	P300
target	1	1.88	5	left	1	35	P300
distractor	4	1.29	6	left	1	35	P300
target	1	0.76	7	left	1	35	P300
distractor	4	0.85	8	left	1	35	P300
target	1	0.8	9	left	1	35	P300
distractor	5	1.45	10	left	1	35	P300
distractor	4	1.08	11	left	1	35	P300
distractor	2	1.04	12	left	1	35	P300
distractor	5	2.06	13	left	1	35	P300
distractor	3	1.78	14	left	1	35	P300
distractor	5	0.74	15	left	1	35	P300
distractor	5	1.01	16	left	1	35	P300
target	1	0.91	17	left	1	35	P300
distractor	4	1.18	18	left	1	35	P300
distractor	5	1.18	19	left	1	35	P300
distractor	4	0.95	20	left	1	35	P300
distractor	5	1.22	21	left	1	35	P300
distractor	2	0.79	22	left	1	35	P300
target	1	1.31	23	left	1	35	P300
distractor	5	0.84	24	left	1	35	P300
distractor	3	1.24	25	left	1	35	P300
distractor	5	1.22	26	left	1	35	P300
distractor	2	2.18	27	left	1	35	P300
distractor	5	1.87	28	left	1	35	P300
distractor	5	1.09	29	left	1	35	P300
distractor	2	1.34	30	left	1	35	P300
distractor	2	1	31	left	1	35	P300
distractor	4	0.9	32	left	1	35	P300
distractor	2	1.06	33	left	1	35	P300
distractor	4	1.81	34	left	1	35	P300
distractor	5	1.99	35	left	1	35	P300
target	1	0.81	36	left	1	35	P300
distractor	3	2.13	37	left	1	35	P300
distractor	4	1.1	38	left	1	35	P300
distractor	4	0.82	39	left	1	35	P300
distractor	3	1.1	40	left	1	35	P300
distractor	3	1.14	41	left	1	35	P300
target	1	1.53	42	left	1	35	P300
distractor	2	0.79	43	left	1	35	P300
distractor	3	0.96	44	left	1	35	P300
distractor	2	0.93	45	left	1	35	P300
distractor	3	2.71	46	left	1	35	P300
distractor	2	0.87	47	left	1	35	P300
distractor	5	0.85	48	left	1	35	P300
distractor	4	0.77	49	left	1	35	P300
distractor	5	0.85	50	left	1	35	P300
distractor	3	1.25	51	left	1	35	P300
target	1	0.89	52	left	1	35	P300
distractor	4	1.56	53	left	1	35	P300
distractor	2	1.17	54	left	1	35	P300
distractor	3	0.71	55	left	1	35	P300
distractor	5	1.38	56	left	1	35	P300
distractor	3	0.94	57	left	1	35	P300
distractor	2	0.99	58	left	1	35	P300
distractor	2	1.1	59	left	1	35	P300
target	1	1.69	60	left	1	35	P300
distractor	2	1.09	61	left	1	35	P300
target	1	0.91	62	left	1	35	P300
distractor	4	1.88	63	left	1	35	P300
distractor	5	0.7	64	left	1	35	P300
distractor	4	0.84	65	left	1	35	P300
distractor	2	0.82	66	left	1	35	P300
distractor	4	0.89	67	left	1	35	P300
distractor	4	1.05	68	left	1	35	P300
distractor	3	0.98	69	left	1	35	P300
distractor	3	1.58	70	left	1	35	P300
distractor	3	1.14	71	left	1	35	P300
distractor	4	1	72	left	1	35	P300
distractor	2	0.88	73	left	1	35	P300
distractor	2	1.37	74	left	1	35	P300
distractor	2	2.65	75	left	1	35	P300
distractor	3	2.77	76	left	1	35	P300
target	1	1.32	77	left	1	35	P300
distractor	2	1.56	78	left	1	35	P300
distractor	4	1.85	79	left	1	35	P300
target	1	1.36	80	left	1	35	P300
distractor	4	0.8	81	left	1	35	P300
distractor	5	0.96	82	left	1	35	P300
target	1	0.91	83	left	1	35	P300
distractor	3	0.97	84	left	1	35	P300
target	1	1.28	85	left	1	35	P300
distractor	4	0.75	86	left	1	35	P300
distractor	5	1.13	87	left	1	35	P300
distractor	5	1.1	88	left	1	35	P300
distractor	2	1.64	89	left	1	35	P300
target	1	2.12	90	left	1	35	P300
distractor	5	0.75	91	left	1	35	P300
distractor	3	0.76	92	left	1	35	P300
distractor	4	1.45	93	left	1	35	P300
distractor	5	1.16	94	left	1	35	P300
distractor	2	0.98	95	left	1	35	P300
target	1	1.03	96	left	1	35	P300
distractor	3	0.83	97	left	1	35	P300
target	1	1	98	left	1	35	P300
distractor	5	1.44	99	left	1	35	P300
target	1	0.8	100	left	1	35	P300
distractor	5	0.79	101	left	1	35	P300
target	1	2.22	102	left	1	35	P300
distractor	4	0.93	103	left	1	35	P300
distractor	3	0.74	104	left	1	35	P300
distractor	2	1.29	105	left	1	35	P300
distractor	3	1.55	106	left	1	35	P300
distractor	3	0.71	107	left	1	35	P300
distractor	2	2.24	108	left	1	35	P300
distractor	5	1.53	109	left	1	35	P300
distractor	4	1.23	110	left	1	35	P300
distractor	2	0.72	111	left	1	35	P300
target	1	0.83	112	left	1	35	P300
distractor	4	1.7	113	left	1	35	P300
target	1	1.52	114	left	1	35	P300
distractor	4	1.05	115	left	1	35	P300
target	1	0.7	116	left	1	35	P300
distractor	3	1.45	117	left	1	35	P300
distractor	2	1.24	118	left	1	35	P300
