condition	stimulus	ITI	trial	targetResponse	block	subject	task
distractor	4	1.09	1	right	1	11	P300
target	2	1.86	2	right	1	11	P300
distractor	4	1.03	3	right	1	11	P300
distractor	1	0.81	4	right	1	11	P300
distractor	1	1.24	5	right	1	11	P300
distractor	3	1.02	6	right	1	11	P300
distractor	5	1	7	right	1	11	P300
distractor	3	0.76	8	right	1	11	P300
distractor	1	0.76	9	right	1	11	P300
distractor	3	1.85	10	right	1	11	P300
distractor	1	2.05	11	right	1	11	P300
distractor	5	2.16	12	right	1	11	P300
target	2	0.89	13	right	1	11	P300
distractor	3	0.72	14	right	1	11	P300
distractor	1	1.05	15	right	1	11	P300
distractor	3	1.27	16	right	1	11	P300
target	2	1.15	17	right	1	11	P300
distractor	3	0.72	18	right	1	11	P300
distractor	4	0.81	19	right	1	11	P300
distractor	3	1.23	20	right	1	11	P300
distractor	5	0.72	21	right	1	11	P300
distractor	1	1.51	22	right	1	11	P300
distractor	4	2.66	23	right	1	11	P300
target	2	0.82	24	right	1	11	P300
distractor	4	0.72	25	right	1	11	P300
distractor	1	2.39	26	right	1	11	P300
distractor	1	1.33	27	right	1	11	P300
distractor	4	0.96	28	right	1	11	P300
target	2	0.98	29	right	1	11	P300
distractor	4	1.77	30	right	1	11	P300
distractor	1	0.89	31	right	1	11	P300
distractor	5	0.72	32	right	1	11	P300
distractor	4	1.11	33	right	1	11	P300
distractor	3	0.86	34	right	1	11	P300
distractor	4	1.19	35	right	1	11	P300
distractor	3	1.98	36	right	1	11	P300
distractor	4	0.89	37	right	1	11	P300
target	2	0.82	38	right	1	11	P300
distractor	1	1.47	39	right	1	11	P300
target	2	0.72	40	right	1	11	P300
distractor	4	0.73	41	right	1	11	P300
distractor	5	2.02	42	right	1	11	P300
distractor	3	1.23	43	right	1	11	P300
distractor	1	1.75	44	right	1	11	P300
distractor	4	1.43	45	right	1	11	P300
distractor	4	0.79	46	right	1	11	P300
distractor	4	0.78	47	right	1	11	P300
distractor	4	2.11	48	right	1	11	P300
distractor	1	0.84	49	right	1	11	P300
distractor	5	1.37	50	right	1	11	P300
target	2	0.78	51	right	1	11	P300
distractor	1	0.85	52	right	1	11	P300
target	2	1.18	53	right	1	11	P300
distractor	5	0.82	54	right	1	11	P300
distractor	4	1.3	55	right	1	11	P300
distractor	5	1.61	56	right	1	11	P300
distractor	1	0.86	57	right	1	11	P300
target	2	0.85	58	right	1	11	P300
distractor	3	0.71	59	right	1	11	P300
distractor	5	0.93	60	right	1	11	P300
distractor	3	0.72	61	right	1	11	P300
distractor	5	1.07	62	right	1	11	P300
distractor	3	1.2	63	right	1	11	P300
distractor	5	1.06	64	right	1	11	P300
distractor	3	1.1	65	right	1	11	P300
distractor	4	1.09	66	right	1	11	P300
distractor	5	1.71	67	right	1	11	P300
distractor	1	1.02	68	right	1	11	P300
target	2	1.55	69	right	1	11	P300
distractor	5	0.76	70	right	1	11	P300
target	2	0.88	71	right	1	11	P300
distractor	4	0.8	72	right	1	11	P300
distractor	1	1.38	73	right	1	11	P300
distractor	1	0.81	74	right	1	11	P300
target	2	1.34	75	right	1	11	P300
distractor	4	1.71	76	right	1	11	P300
distractor	4	1.04	77	right	1	11	P300
target	2	0.76	78	right	1	11	P300
distractor	5	1.12	79	right	1	11	P300
distractor	5	0.9	80	right	1	11	P300
target	2	1.73	81	right	1	11	P300
distractor	3	0.8	82	right	1	11	P300
distractor	3	0.81	83	right	1	11	P300
distractor	5	0.98	84	right	1	11	P300
distractor	4	0.99	85	right	1	11	P300
distractor	1	0.79	86	right	1	11	P300
target	2	0.9	87	right	1	11	P300
distractor	3	1.17	88	right	1	11	P300
distractor	1	0.97	89	right	1	11	P300
distractor	5	0.72	90	right	1	11	P300
distractor	1	0.93	91	right	1	11	P300
distractor	4	0.93	92	right	1	11	P300
distractor	3	0.95	93	right	1	11	P300
target	2	0.71	94	right	1	11	P300
distractor	4	0.83	95	right	1	11	P300
target	2	2	96	right	1	11	P300
distractor	5	1.63	97	right	1	11	P300
distractor	5	1.92	98	right	1	11	P300
distractor	3	1.31	99	right	1	11	P300
target	2	0.94	100	right	1	11	P300
distractor	1	1.9	101	right	1	11	P300
distractor	3	0.85	102	right	1	11	P300
distractor	1	1.09	103	right	1	11	P300
distractor	3	1.08	104	right	1	11	P300
target	2	0.95	105	right	1	11	P300
distractor	5	0.82	106	right	1	11	P300
distractor	3	0.87	107	right	1	11	P300
distractor	3	1.14	108	right	1	11	P300
distractor	5	0.84	109	right	1	11	P300
target	2	0.88	110	right	1	11	P300
distractor	5	0.87	111	right	1	11	P300
target	2	0.88	112	right	1	11	P300
distractor	1	1.04	113	right	1	11	P300
target	2	1.46	114	right	1	11	P300
distractor	3	0.7	115	right	1	11	P300
distractor	5	1.28	116	right	1	11	P300
distractor	5	1	117	right	1	11	P300
distractor	4	1.35	118	right	1	11	P300
distractor	1	0.99	119	right	1	11	P300
target	2	0.86	120	right	1	11	P300
distractor	4	1.3	1	left	2	11	P300
target	2	0.96	2	left	2	11	P300
distractor	5	0.92	3	left	2	11	P300
distractor	4	1.07	4	left	2	11	P300
distractor	3	0.77	5	left	2	11	P300
distractor	3	1.66	6	left	2	11	P300
distractor	5	0.75	7	left	2	11	P300
distractor	4	1.04	8	left	2	11	P300
distractor	1	2.15	9	left	2	11	P300
distractor	5	0.76	10	left	2	11	P300
target	2	1.22	11	left	2	11	P300
distractor	4	2.3	12	left	2	11	P300
target	2	3.07	13	left	2	11	P300
distractor	5	0.88	14	left	2	11	P300
distractor	3	1.12	15	left	2	11	P300
distractor	5	1.93	16	left	2	11	P300
target	2	1.12	17	left	2	11	P300
distractor	1	1.59	18	left	2	11	P300
distractor	5	1.21	19	left	2	11	P300
distractor	5	0.71	20	left	2	11	P300
distractor	3	0.88	21	left	2	11	P300
distractor	5	1.67	22	left	2	11	P300
distractor	4	0.97	23	left	2	11	P300
target	2	0.94	24	left	2	11	P300
distractor	5	0.85	25	left	2	11	P300
distractor	3	0.77	26	left	2	11	P300
distractor	4	1.17	27	left	2	11	P300
distractor	4	0.91	28	left	2	11	P300
distractor	4	1.62	29	left	2	11	P300
distractor	5	0.71	30	left	2	11	P300
target	2	1.6	31	left	2	11	P300
distractor	3	0.74	32	left	2	11	P300
distractor	5	1.45	33	left	2	11	P300
distractor	3	0.96	34	left	2	11	P300
distractor	5	1.28	35	left	2	11	P300
target	2	0.96	36	left	2	11	P300
distractor	5	0.77	37	left	2	11	P300
distractor	4	1.98	38	left	2	11	P300
distractor	5	1.14	39	left	2	11	P300
distractor	3	0.8	40	left	2	11	P300
distractor	3	1.09	41	left	2	11	P300
distractor	3	0.8	42	left	2	11	P300
distractor	5	0.92	43	left	2	11	P300
distractor	4	1.09	44	left	2	11	P300
