stimulus	stimDur	ITI	flickerDot	trial	block	subject	task
395	0.3	NaN	0	1	1	14	stimDur
478	0.7	NaN	0	2	1	14	stimDur
131	0.21	NaN	0	3	1	14	stimDur
253	0.57	NaN	0	4	1	14	stimDur
256	1.44	NaN	0.2175	5	1	14	stimDur
310	0.47	NaN	0	6	1	14	stimDur
356	0.53	NaN	0	7	1	14	stimDur
215	0.41	NaN	0	8	1	14	stimDur
507	0.35	NaN	0	9	1	14	stimDur
299	1.5	NaN	0	10	1	14	stimDur
135	0.15	NaN	0	11	1	14	stimDur
286	0.14	NaN	0	12	1	14	stimDur
444	0.68	NaN	0.0343	13	1	14	stimDur
520	1.07	NaN	0	14	1	14	stimDur
62	0.32	NaN	0	15	1	14	stimDur
294	0.88	NaN	0	16	1	14	stimDur
97	0.7	NaN	0	17	1	14	stimDur
395	0.84	NaN	0	18	1	14	stimDur
346	1.14	NaN	0	19	1	14	stimDur
501	0.67	NaN	0.4469	20	1	14	stimDur
119	0.32	NaN	0	21	1	14	stimDur
168	1.41	NaN	0	22	1	14	stimDur
29	0.17	NaN	0	23	1	14	stimDur
43	0.37	NaN	0	24	1	14	stimDur
403	0.34	NaN	0	25	1	14	stimDur
315	0.13	NaN	0	26	1	14	stimDur
518	1.46	NaN	0	27	1	14	stimDur
247	0.11	NaN	0	28	1	14	stimDur
400	0.89	NaN	0	29	1	14	stimDur
227	0.9	NaN	0	30	1	14	stimDur
123	0.13	NaN	0	31	1	14	stimDur
536	0.27	NaN	0	32	1	14	stimDur
50	0.18	NaN	0	33	1	14	stimDur
68	1.17	NaN	0.4013	34	1	14	stimDur
14	0.59	NaN	0	35	1	14	stimDur
146	0.17	NaN	0	36	1	14	stimDur
54	0.34	NaN	0	37	1	14	stimDur
163	1.1	NaN	0	38	1	14	stimDur
275	1.49	NaN	1.2213	39	1	14	stimDur
353	0.27	NaN	0	40	1	14	stimDur
341	0.36	NaN	0	41	1	14	stimDur
418	0.18	NaN	0	42	1	14	stimDur
397	0.16	NaN	0	43	1	14	stimDur
435	0.38	NaN	0	44	1	14	stimDur
275	0.36	NaN	0	45	1	14	stimDur
230	1.41	NaN	0	46	1	14	stimDur
497	0.11	NaN	0	47	1	14	stimDur
96	0.14	NaN	0	48	1	14	stimDur
364	0.21	NaN	0	49	1	14	stimDur
110	0.89	NaN	0	50	1	14	stimDur
278	0.9	NaN	0	51	1	14	stimDur
337	0.1	NaN	0	52	1	14	stimDur
197	0.28	NaN	0.1776	53	1	14	stimDur
404	0.1	NaN	0	54	1	14	stimDur
468	0.1	NaN	0	55	1	14	stimDur
81	0.88	NaN	0	56	1	14	stimDur
396	0.2	NaN	0	57	1	14	stimDur
248	0.68	NaN	0	58	1	14	stimDur
250	0.71	NaN	0	59	1	14	stimDur
118	0.38	NaN	0	60	1	14	stimDur
534	0.14	NaN	0	61	1	14	stimDur
260	0.32	NaN	0	62	1	14	stimDur
401	0.59	NaN	0	63	1	14	stimDur
236	0.76	NaN	0.3611	64	1	14	stimDur
169	0.11	NaN	0	65	1	14	stimDur
180	1.21	NaN	0	66	1	14	stimDur
74	1.18	NaN	0	67	1	14	stimDur
121	0.13	NaN	0	68	1	14	stimDur
38	0.37	NaN	0	69	1	14	stimDur
191	0.2	NaN	0	70	1	14	stimDur
177	0.34	NaN	0	71	1	14	stimDur
106	0.18	NaN	0	72	1	14	stimDur
51	0.74	NaN	0	73	1	14	stimDur
228	0.87	NaN	0.6475	74	1	14	stimDur
260	0.25	NaN	0	75	1	14	stimDur
103	0.23	NaN	0	76	1	14	stimDur
120	0.19	NaN	0	77	1	14	stimDur
140	0.11	NaN	0	78	1	14	stimDur
207	0.46	NaN	0	79	1	14	stimDur
359	0.84	NaN	0	80	1	14	stimDur
337	0.2	NaN	0	81	1	14	stimDur
157	0.1	NaN	0	82	1	14	stimDur
397	0.43	NaN	0	83	1	14	stimDur
157	0.1	NaN	0	84	1	14	stimDur
294	0.27	NaN	0	85	1	14	stimDur
122	0.31	NaN	0	86	1	14	stimDur
379	0.42	NaN	0	87	1	14	stimDur
162	0.19	NaN	0.0276	88	1	14	stimDur
406	0.58	NaN	0	89	1	14	stimDur
487	0.16	NaN	0	90	1	14	stimDur
534	0.47	NaN	0	91	1	14	stimDur
460	1.2	NaN	0	92	1	14	stimDur
