stimulus	stimDur	ITI	flickerDot	trial	block	subject	task
472	0.25	NaN	0	1	1	1	stimDur
498	0.1	NaN	0	2	1	1	stimDur
335	0.15	NaN	0	3	1	1	stimDur
407	0.75	NaN	0	4	1	1	stimDur
246	0.1	NaN	0	5	1	1	stimDur
472	0.26	NaN	0	6	1	1	stimDur
486	1.03	NaN	0	7	1	1	stimDur
471	0.64	NaN	0	8	1	1	stimDur
301	0.64	NaN	0.1171	9	1	1	stimDur
175	0.16	NaN	0	10	1	1	stimDur
83	0.32	NaN	0	11	1	1	stimDur
320	0.47	NaN	0	12	1	1	stimDur
228	1.46	NaN	0	13	1	1	stimDur
488	0.17	NaN	0	14	1	1	stimDur
62	0.19	NaN	0	15	1	1	stimDur
481	0.2	NaN	0	16	1	1	stimDur
375	0.75	NaN	0.5243	17	1	1	stimDur
315	0.34	NaN	0	18	1	1	stimDur
477	0.11	NaN	0	19	1	1	stimDur
225	0.39	NaN	0	20	1	1	stimDur
520	0.17	NaN	0	21	1	1	stimDur
65	0.86	NaN	0	22	1	1	stimDur
247	0.22	NaN	0	23	1	1	stimDur
182	0.1	NaN	0	24	1	1	stimDur
140	0.49	NaN	0	25	1	1	stimDur
360	0.98	NaN	0	26	1	1	stimDur
372	0.27	NaN	0	27	1	1	stimDur
291	0.75	NaN	0	28	1	1	stimDur
228	0.39	NaN	0.2861	29	1	1	stimDur
55	0.42	NaN	0	30	1	1	stimDur
363	1.35	NaN	0	31	1	1	stimDur
193	0.88	NaN	0	32	1	1	stimDur
531	0.1	NaN	0	33	1	1	stimDur
374	0.67	NaN	0	34	1	1	stimDur
37	0.34	NaN	0	35	1	1	stimDur
486	1.3	NaN	0.3323	36	1	1	stimDur
88	0.18	NaN	0	37	1	1	stimDur
377	0.2	NaN	0	38	1	1	stimDur
21	0.12	NaN	0	39	1	1	stimDur
21	0.31	NaN	0	40	1	1	stimDur
288	0.13	NaN	0	41	1	1	stimDur
488	0.55	NaN	0	42	1	1	stimDur
379	0.87	NaN	0	43	1	1	stimDur
150	0.65	NaN	0	44	1	1	stimDur
304	0.79	NaN	0.1379	45	1	1	stimDur
152	0.24	NaN	0	46	1	1	stimDur
71	0.98	NaN	0	47	1	1	stimDur
453	0.31	NaN	0	48	1	1	stimDur
385	0.93	NaN	0	49	1	1	stimDur
101	0.54	NaN	0	50	1	1	stimDur
482	0.14	NaN	0	51	1	1	stimDur
165	0.12	NaN	0	52	1	1	stimDur
45	0.1	NaN	0	53	1	1	stimDur
404	0.11	NaN	0	54	1	1	stimDur
135	0.34	NaN	0	55	1	1	stimDur
507	0.13	NaN	0	56	1	1	stimDur
83	0.1	NaN	0	57	1	1	stimDur
518	0.76	NaN	0	58	1	1	stimDur
269	0.28	NaN	0	59	1	1	stimDur
432	0.75	NaN	0	60	1	1	stimDur
339	0.33	NaN	0	61	1	1	stimDur
100	0.33	NaN	0	62	1	1	stimDur
118	0.36	NaN	0	63	1	1	stimDur
514	0.35	NaN	0.2108	64	1	1	stimDur
79	0.87	NaN	0	65	1	1	stimDur
25	0.29	NaN	0	66	1	1	stimDur
122	1.16	NaN	0	67	1	1	stimDur
450	0.11	NaN	0	68	1	1	stimDur
19	0.81	NaN	0	69	1	1	stimDur
231	0.13	NaN	0	70	1	1	stimDur
496	0.52	NaN	0	71	1	1	stimDur
408	0.1	NaN	0	72	1	1	stimDur
236	0.42	NaN	0	73	1	1	stimDur
162	0.1	NaN	0	74	1	1	stimDur
294	1.32	NaN	0.001	75	1	1	stimDur
405	1.16	NaN	0	76	1	1	stimDur
158	0.86	NaN	0	77	1	1	stimDur
64	1.19	NaN	0	78	1	1	stimDur
281	0.14	NaN	0	79	1	1	stimDur
194	0.15	NaN	0	80	1	1	stimDur
312	0.16	NaN	0.001	81	1	1	stimDur
76	0.53	NaN	0	82	1	1	stimDur
31	1.16	NaN	0	83	1	1	stimDur
84	1.46	NaN	0	84	1	1	stimDur
176	0.68	NaN	0	85	1	1	stimDur
39	0.72	NaN	0	86	1	1	stimDur
115	1.17	NaN	0.1693	87	1	1	stimDur
376	0.29	NaN	0	88	1	1	stimDur
435	0.19	NaN	0	89	1	1	stimDur
463	0.15	NaN	0	90	1	1	stimDur
501	0.13	NaN	0	91	1	1	stimDur
25	0.9	NaN	0	92	1	1	stimDur
292	0.14	NaN	0	93	1	1	stimDur
230	0.2	NaN	0	94	1	1	stimDur
76	0.91	NaN	0	95	1	1	stimDur
198	0.22	NaN	0	96	1	1	stimDur
12	1.43	NaN	0.0203	97	1	1	stimDur
