stimulus	stimDur	ITI	flickerDot	trial	block	subject	task
153	0.15	NaN	0	1	1	36	stimDur
22	0.1	NaN	0	2	1	36	stimDur
278	0.37	NaN	0	3	1	36	stimDur
88	1.24	NaN	1.0997	4	1	36	stimDur
416	0.55	NaN	0	5	1	36	stimDur
76	0.14	NaN	0	6	1	36	stimDur
504	0.99	NaN	0	7	1	36	stimDur
54	0.15	NaN	0	8	1	36	stimDur
292	0.11	NaN	0	9	1	36	stimDur
16	0.39	NaN	0	10	1	36	stimDur
341	0.12	NaN	0	11	1	36	stimDur
343	0.56	NaN	0	12	1	36	stimDur
132	0.26	NaN	0	13	1	36	stimDur
265	0.56	NaN	0	14	1	36	stimDur
151	0.31	NaN	0	15	1	36	stimDur
95	0.16	NaN	0	16	1	36	stimDur
173	0.13	NaN	0	17	1	36	stimDur
128	0.38	NaN	0.0645	18	1	36	stimDur
12	0.66	NaN	0	19	1	36	stimDur
423	0.91	NaN	0	20	1	36	stimDur
51	0.83	NaN	0	21	1	36	stimDur
509	0.87	NaN	0	22	1	36	stimDur
316	0.14	NaN	0	23	1	36	stimDur
24	0.12	NaN	0	24	1	36	stimDur
197	0.38	NaN	0	25	1	36	stimDur
479	0.19	NaN	0	26	1	36	stimDur
306	1.47	NaN	0.3497	27	1	36	stimDur
109	0.83	NaN	0	28	1	36	stimDur
424	0.53	NaN	0	29	1	36	stimDur
396	0.15	NaN	0	30	1	36	stimDur
492	0.81	NaN	0	31	1	36	stimDur
204	0.39	NaN	0	32	1	36	stimDur
368	0.19	NaN	0	33	1	36	stimDur
504	0.45	NaN	0.3081	34	1	36	stimDur
385	0.79	NaN	0	35	1	36	stimDur
319	0.95	NaN	0	36	1	36	stimDur
253	0.13	NaN	0	37	1	36	stimDur
499	0.91	NaN	0	38	1	36	stimDur
287	0.2	NaN	0	39	1	36	stimDur
234	0.18	NaN	0	40	1	36	stimDur
249	1	NaN	0	41	1	36	stimDur
221	0.2	NaN	0	42	1	36	stimDur
124	0.1	NaN	0	43	1	36	stimDur
363	0.27	NaN	0	44	1	36	stimDur
107	0.63	NaN	0	45	1	36	stimDur
390	0.28	NaN	0	46	1	36	stimDur
178	0.69	NaN	0.513	47	1	36	stimDur
273	0.89	NaN	0	48	1	36	stimDur
208	0.55	NaN	0	49	1	36	stimDur
300	0.41	NaN	0	50	1	36	stimDur
128	0.48	NaN	0	51	1	36	stimDur
142	0.62	NaN	0	52	1	36	stimDur
90	0.73	NaN	0	53	1	36	stimDur
120	0.22	NaN	0	54	1	36	stimDur
190	0.18	NaN	0	55	1	36	stimDur
418	0.16	NaN	0	56	1	36	stimDur
290	0.11	NaN	0	57	1	36	stimDur
322	0.24	NaN	0	58	1	36	stimDur
327	0.41	NaN	0	59	1	36	stimDur
196	0.29	NaN	0.1206	60	1	36	stimDur
486	0.27	NaN	0	61	1	36	stimDur
186	1.41	NaN	0	62	1	36	stimDur
102	0.39	NaN	0	63	1	36	stimDur
183	0.76	NaN	0	64	1	36	stimDur
213	1.31	NaN	0	65	1	36	stimDur
460	0.75	NaN	0.5587	66	1	36	stimDur
114	0.46	NaN	0	67	1	36	stimDur
519	0.36	NaN	0	68	1	36	stimDur
264	0.25	NaN	0	69	1	36	stimDur
432	0.35	NaN	0	70	1	36	stimDur
106	0.63	NaN	0	71	1	36	stimDur
516	0.1	NaN	0	72	1	36	stimDur
88	0.2	NaN	0	73	1	36	stimDur
360	1	NaN	0	74	1	36	stimDur
533	0.66	NaN	0	75	1	36	stimDur
248	0.12	NaN	0	76	1	36	stimDur
129	0.53	NaN	0.2475	77	1	36	stimDur
416	0.1	NaN	0	78	1	36	stimDur
319	0.1	NaN	0	79	1	36	stimDur
133	0.48	NaN	0	80	1	36	stimDur
485	0.32	NaN	0	81	1	36	stimDur
470	0.17	NaN	0	82	1	36	stimDur
502	0.6	NaN	0	83	1	36	stimDur
536	0.49	NaN	0	84	1	36	stimDur
388	0.33	NaN	0	85	1	36	stimDur
49	0.11	NaN	0	86	1	36	stimDur
269	0.45	NaN	0	87	1	36	stimDur
114	0.2	NaN	0	88	1	36	stimDur
509	0.18	NaN	0	89	1	36	stimDur
50	0.2	NaN	0	90	1	36	stimDur
222	0.15	NaN	0	91	1	36	stimDur
144	0.87	NaN	0.001	92	1	36	stimDur
55	0.15	NaN	0	93	1	36	stimDur
121	1.39	NaN	0	94	1	36	stimDur
468	0.13	NaN	0	95	1	36	stimDur
139	0.1	NaN	0	96	1	36	stimDur
140	1.36	NaN	0	97	1	36	stimDur
53	0.23	NaN	0	98	1	36	stimDur
468	0.13	NaN	0	99	1	36	stimDur
133	0.74	NaN	0.2041	100	1	36	stimDur
476	0.19	NaN	0	101	1	36	stimDur
231	0.35	NaN	0	102	1	36	stimDur
341	0.16	NaN	0	103	1	36	stimDur
450	0.79	NaN	0	104	1	36	stimDur
511	0.23	NaN	0	105	1	36	stimDur
104	0.13	NaN	0	106	1	36	stimDur
241	0.13	NaN	0	107	1	36	stimDur
347	0.16	NaN	0	108	1	36	stimDur
434	1.09	NaN	0	109	1	36	stimDur
430	0.25	NaN	0.1341	110	1	36	stimDur
119	0.92	NaN	0	111	1	36	stimDur
482	0.59	NaN	0	112	1	36	stimDur
248	0.4	NaN	0	113	1	36	stimDur
244	0.39	NaN	0	114	1	36	stimDur
362	0.18	NaN	0	115	1	36	stimDur
137	1.42	NaN	0	116	1	36	stimDur
101	0.98	NaN	0	117	1	36	stimDur
116	1.01	NaN	0	118	1	36	stimDur
171	0.36	NaN	0.1847	119	1	36	stimDur
96	0.1	NaN	0	120	1	36	stimDur
516	0.94	0.94	0	1	2	36	stimDur
71	0.19	0.92	0	2	2	36	stimDur
475	0.14	1.82	0	3	2	36	stimDur
236	0.12	0.85	0	4	2	36	stimDur
499	0.17	0.89	0	5	2	36	stimDur
499	0.34	0.98	0	6	2	36	stimDur
474	0.26	1.27	0.0909	7	2	36	stimDur
535	0.47	0.81	0	8	2	36	stimDur
200	1.19	1.25	0	9	2	36	stimDur
498	0.34	1.32	0	10	2	36	stimDur
283	1.32	0.85	0	11	2	36	stimDur
132	1.07	0.8	0	12	2	36	stimDur
121	0.33	1.44	0	13	2	36	stimDur
364	0.53	1.18	0	14	2	36	stimDur
150	0.14	1.01	0	15	2	36	stimDur
430	1.43	0.81	0.1288	16	2	36	stimDur
478	1	0.85	0	17	2	36	stimDur
283	0.36	1.32	0	18	2	36	stimDur
476	0.18	1.07	0	19	2	36	stimDur
376	0.8	1.07	0	20	2	36	stimDur
181	0.31	1.24	0	21	2	36	stimDur
354	0.19	1.36	0	22	2	36	stimDur
525	0.71	1.03	0.001	23	2	36	stimDur
14	0.2	1.3	0	24	2	36	stimDur
438	0.22	1.34	0	25	2	36	stimDur
239	0.79	1.11	0	26	2	36	stimDur
269	0.12	0.99	0	27	2	36	stimDur
111	0.92	0.92	0	28	2	36	stimDur
93	0.48	0.85	0	29	2	36	stimDur
184	0.23	1.81	0	30	2	36	stimDur
282	0.37	0.93	0	31	2	36	stimDur
112	1.34	2.11	0.1697	32	2	36	stimDur
59	0.5	1.05	0	33	2	36	stimDur
327	0.77	0.97	0	34	2	36	stimDur
384	0.12	0.92	0	35	2	36	stimDur
248	0.41	3.92	0	36	2	36	stimDur
316	0.15	0.99	0	37	2	36	stimDur
145	0.96	0.81	0	38	2	36	stimDur
330	0.57	1.65	0	39	2	36	stimDur
382	0.76	0.83	0	40	2	36	stimDur
180	1.07	0.89	0	41	2	36	stimDur
412	0.64	0.98	0	42	2	36	stimDur
51	0.31	0.89	0	43	2	36	stimDur
135	0.24	0.85	0	44	2	36	stimDur
217	0.18	1.03	0	45	2	36	stimDur
395	1.25	1.23	1.0845	46	2	36	stimDur
449	0.6	1.2	0	47	2	36	stimDur
389	0.7	1.37	0	48	2	36	stimDur
232	0.23	1.15	0	49	2	36	stimDur
529	0.52	1.26	0	50	2	36	stimDur
314	0.17	3.82	0	51	2	36	stimDur
116	0.1	0.9	0	52	2	36	stimDur
303	0.75	0.99	0	53	2	36	stimDur
45	0.41	0.84	0	54	2	36	stimDur
329	1.36	0.84	0.8227	55	2	36	stimDur
413	0.27	2.57	0	56	2	36	stimDur
242	1.38	2.76	0	57	2	36	stimDur
255	0.22	1.44	0	58	2	36	stimDur
217	1.23	1.63	0	59	2	36	stimDur
162	1.13	1.21	0	60	2	36	stimDur
153	0.13	1.06	0	61	2	36	stimDur
377	1.22	0.96	0.5201	62	2	36	stimDur
339	0.1	2.14	0	63	2	36	stimDur
24	1.25	2.08	0	64	2	36	stimDur
497	0.21	0.8	0	65	2	36	stimDur
336	0.35	1.26	0	66	2	36	stimDur
397	0.13	0.96	0	67	2	36	stimDur
158	0.75	1.32	0	68	2	36	stimDur
83	0.38	1.36	0	69	2	36	stimDur
476	0.14	1.13	0	70	2	36	stimDur
115	0.22	1.08	0	71	2	36	stimDur
28	0.14	0.99	0	72	2	36	stimDur
71	0.17	1.81	0	73	2	36	stimDur
503	0.45	1.24	0	74	2	36	stimDur
406	1.01	1.03	0.4058	75	2	36	stimDur
15	0.19	1.26	0	76	2	36	stimDur
128	1.44	0.92	0	77	2	36	stimDur
348	0.14	0.88	0	78	2	36	stimDur
454	0.1	0.85	0	79	2	36	stimDur
509	0.1	0.82	0	80	2	36	stimDur
435	1.17	0.93	0	81	2	36	stimDur
301	0.11	1.36	0	82	2	36	stimDur
452	0.37	1.16	0.2574	83	2	36	stimDur
122	1.05	1.57	0	84	2	36	stimDur
431	0.19	0.94	0	85	2	36	stimDur
361	0.11	0.87	0	86	2	36	stimDur
323	0.14	1.17	0	87	2	36	stimDur
183	0.2	1.06	0	88	2	36	stimDur
37	0.99	1.38	0	89	2	36	stimDur
