condition	stimulus	ITI	trial	targetResponse	block	subject	task
target	2	1.14	1	left	1	2	P300
distractor	3	0.77	2	left	1	2	P300
target	2	1.58	3	left	1	2	P300
distractor	1	0.8	4	left	1	2	P300
target	2	1.28	5	left	1	2	P300
distractor	3	1.15	6	left	1	2	P300
distractor	4	1.39	7	left	1	2	P300
target	2	0.71	8	left	1	2	P300
distractor	3	0.81	9	left	1	2	P300
target	2	1.22	10	left	1	2	P300
distractor	1	0.73	11	left	1	2	P300
distractor	4	0.71	12	left	1	2	P300
distractor	3	0.89	13	left	1	2	P300
distractor	5	1.08	14	left	1	2	P300
distractor	5	0.72	15	left	1	2	P300
distractor	5	0.72	16	left	1	2	P300
target	2	0.71	17	left	1	2	P300
distractor	4	0.91	18	left	1	2	P300
distractor	4	1.17	19	left	1	2	P300
distractor	4	0.79	20	left	1	2	P300
distractor	3	1.6	21	left	1	2	P300
distractor	4	0.94	22	left	1	2	P300
distractor	5	1.11	23	left	1	2	P300
target	2	0.84	24	left	1	2	P300
distractor	5	1.11	25	left	1	2	P300
distractor	3	2.03	26	left	1	2	P300
distractor	4	0.95	27	left	1	2	P300
target	2	0.8	28	left	1	2	P300
distractor	5	0.95	29	left	1	2	P300
target	2	0.94	30	left	1	2	P300
distractor	3	1	31	left	1	2	P300
target	2	1.02	32	left	1	2	P300
distractor	3	0.71	33	left	1	2	P300
distractor	1	0.77	34	left	1	2	P300
distractor	5	0.95	35	left	1	2	P300
distractor	1	1.23	36	left	1	2	P300
target	2	1.35	37	left	1	2	P300
distractor	4	1.35	38	left	1	2	P300
distractor	5	1	39	left	1	2	P300
distractor	4	2.06	40	left	1	2	P300
distractor	1	0.87	41	left	1	2	P300
target	2	0.98	42	left	1	2	P300
distractor	4	1.29	43	left	1	2	P300
distractor	5	1.54	44	left	1	2	P300
distractor	5	0.93	45	left	1	2	P300
target	2	1.52	46	left	1	2	P300
distractor	3	1.24	47	left	1	2	P300
target	2	0.95	48	left	1	2	P300
distractor	4	0.71	49	left	1	2	P300
target	2	0.7	50	left	1	2	P300
distractor	1	1.92	51	left	1	2	P300
