condition	stimulus	ITI	trial	targetResponse	block	subject	task
distractor	2	1.43	1	right	1	5	P300
target	5	1.42	2	right	1	5	P300
distractor	3	1.76	3	right	1	5	P300
target	5	1.08	4	right	1	5	P300
distractor	1	2.15	5	right	1	5	P300
target	5	0.72	6	right	1	5	P300
distractor	3	1.06	7	right	1	5	P300
distractor	3	0.85	8	right	1	5	P300
distractor	1	1.45	9	right	1	5	P300
distractor	3	1.16	10	right	1	5	P300
distractor	1	2.56	11	right	1	5	P300
target	5	0.74	12	right	1	5	P300
distractor	4	1.07	13	right	1	5	P300
distractor	1	0.97	14	right	1	5	P300
distractor	2	1.15	15	right	1	5	P300
distractor	4	0.82	16	right	1	5	P300
distractor	1	0.71	17	right	1	5	P300
target	5	1.04	18	right	1	5	P300
distractor	2	0.89	19	right	1	5	P300
target	5	1.66	20	right	1	5	P300
distractor	2	0.96	21	right	1	5	P300
distractor	1	0.93	22	right	1	5	P300
distractor	2	1.13	23	right	1	5	P300
distractor	4	1.02	24	right	1	5	P300
target	5	2.11	25	right	1	5	P300
distractor	2	1.37	26	right	1	5	P300
distractor	4	0.99	27	right	1	5	P300
target	5	0.8	28	right	1	5	P300
distractor	2	1.1	29	right	1	5	P300
distractor	3	1.29	30	right	1	5	P300
distractor	2	1.31	31	right	1	5	P300
distractor	1	2.88	32	right	1	5	P300
distractor	4	0.8	33	right	1	5	P300
distractor	1	0.94	34	right	1	5	P300
distractor	4	0.93	35	right	1	5	P300
distractor	1	0.86	36	right	1	5	P300
distractor	4	0.89	37	right	1	5	P300
distractor	2	0.98	38	right	1	5	P300
distractor	3	1.03	39	right	1	5	P300
target	5	0.83	40	right	1	5	P300
distractor	3	0.76	41	right	1	5	P300
distractor	2	0.85	42	right	1	5	P300
distractor	4	0.76	43	right	1	5	P300
distractor	1	0.86	44	right	1	5	P300
distractor	3	1.19	45	right	1	5	P300
distractor	2	1.09	46	right	1	5	P300
distractor	4	3.25	47	right	1	5	P300
distractor	3	1.05	48	right	1	5	P300
distractor	4	1.04	49	right	1	5	P300
target	5	1.14	50	right	1	5	P300
distractor	1	1.26	51	right	1	5	P300
distractor	3	1.11	52	right	1	5	P300
distractor	1	1.08	53	right	1	5	P300
target	5	1.1	54	right	1	5	P300
distractor	1	0.89	55	right	1	5	P300
distractor	2	1.35	56	right	1	5	P300
target	5	1.1	57	right	1	5	P300
distractor	1	0.86	58	right	1	5	P300
distractor	3	0.82	59	right	1	5	P300
distractor	2	0.73	60	right	1	5	P300
distractor	3	0.88	61	right	1	5	P300
distractor	2	0.7	62	right	1	5	P300
target	5	0.77	63	right	1	5	P300
distractor	3	0.72	64	right	1	5	P300
target	5	0.84	65	right	1	5	P300
distractor	4	0.88	66	right	1	5	P300
target	5	1.08	67	right	1	5	P300
distractor	4	1.12	68	right	1	5	P300
target	5	1.34	69	right	1	5	P300
distractor	1	0.77	70	right	1	5	P300
distractor	4	1.67	71	right	1	5	P300
distractor	1	1.26	72	right	1	5	P300
distractor	3	0.99	73	right	1	5	P300
distractor	1	1.14	74	right	1	5	P300
distractor	2	1	75	right	1	5	P300
distractor	4	0.77	76	right	1	5	P300
distractor	1	1.14	77	right	1	5	P300
distractor	3	2.62	78	right	1	5	P300
distractor	2	1.33	79	right	1	5	P300
distractor	1	0.78	80	right	1	5	P300
distractor	1	0.75	81	right	1	5	P300
target	5	1.85	82	right	1	5	P300
distractor	3	1.74	83	right	1	5	P300
distractor	4	1.3	84	right	1	5	P300
distractor	1	1.32	85	right	1	5	P300
distractor	4	0.76	86	right	1	5	P300
target	5	1.42	87	right	1	5	P300
distractor	2	0.77	88	right	1	5	P300
target	5	0.79	89	right	1	5	P300
distractor	2	0.92	90	right	1	5	P300
distractor	2	0.7	91	right	1	5	P300
